Count,Nation
65.0,FRA
23.0,USA
2.0,SEN
1.0,MAR
1.0,BEL
1.0,CIV
1.0,GBR
1.0,CHE
1.0,ESP
1.0,CMR
1.0,CAN
1.0,GLP
1.0,DZA
1.0,DEU
1.0,MCO
1.0,COL
1.0,BFA
1.0,TUR
1.0,MTQ
1.0,MYT
1.0,PRT
1.0,PHL
1.0,KEN
1.0,GAB
1.0,POL
1.0,ISR
1.0,ARE
1.0,HND
1.0,ITA
1.0,ARG
1.0,DOM
1.0,MYS
1.0,BMU
1.0,VEN
1.0,PSE
1.0,SLV
1.0,COD
1.0,MEX
1.0,AUS
1.0,NLD
1.0,BEN
1.0,JPN
1.0,TUN
1.0,NGA
1.0,RUS
1.0,GHA
1.0,REU
1.0,LUX
