,created_at,hashtags,lang,location,locationBis,positivity,text
7667,2018-06-17 19:20:54,[],en,,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7668,2018-06-17 19:20:56,['WorldCup'],en,,,1,Best game of the #WorldCup so far. By a mile#BRASWI
7669,2018-06-17 19:20:58,[],en,Wrong question. See above,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7670,2018-06-17 19:20:58,[],en,"Texas, USA",USA,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7671,2018-06-17 19:20:57,"['BRASUI', 'BRESUI', 'bra', 'BRASWI']",en,,,0,"#BRASUI #BRESUI #bra #BRASWI 
BUT ZUBER 1-1 https://t.co/ClD94czR3f"
7672,2018-06-17 19:20:59,[],en,Norðrhálfa,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7673,2018-06-17 19:21:00,"['BRA', 'BRASWI', 'WorldCup']",en,Pit J,,0,"CMON NEYMAR, YOU CAN DO THIS!! #BRA #BRASWI #WorldCup"
7674,2018-06-17 19:21:03,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7675,2018-06-17 19:21:03,[],en,"Florida, USA",URY,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7676,2018-06-17 19:21:03,[],en,316,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7677,2018-06-17 19:21:04,[],en,Nigeria,NGA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7678,2018-06-17 19:21:04,[],en,"Augusta, GA",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7679,2018-06-17 19:21:04,[],en,"Lagos, Nigeria",PRT,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7680,2018-06-17 19:21:05,[],en,"Detroit, MI",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7681,2018-06-17 19:21:05,[],en,"Atlanta, GA",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7682,2018-06-17 19:21:05,[],en,Cameroon,CMR,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7683,2018-06-17 19:21:05,[],en,North Side STL. ,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7684,2018-06-17 19:21:05,"['BRA', 'SWI', 'BRASWI', 'CM2018']",fr,"Paris, France",FRA,1,"Le #BRA me déçoit grave ! Bravo les #SWI 

#BRASWI #CM2018"
7685,2018-06-17 19:21:06,[],en,On Earth NoW,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7686,2018-06-17 19:21:06,[],en,"Ontario, Canada",CAN,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7687,2018-06-17 19:21:06,[],en,"Detroit, MI",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7688,2018-06-17 19:21:07,[],en,Lag. To The World,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7689,2018-06-17 19:21:07,[],en,"Baltimore, MD",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7690,2018-06-17 19:21:06,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7691,2018-06-17 19:21:07,[],en,"Tuscaloosa, AL",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7692,2018-06-17 19:21:07,[],en,I'm in your mind,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7693,2018-06-17 19:21:07,[],en,"Suooshima-cho, Yamaguchi",,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7694,2018-06-17 19:21:08,[],en,in your CGPA😏🇳🇬,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7695,2018-06-17 19:21:08,[],en,"Lagos, Nigeria",PRT,0,"RT @adeoyemusic: Brazil vs Switzerland 

Alternate Links below 

https://t.co/ume1VNKTEJ

https://t.co/SFsnvvzPLm

https://t.co/ftfSBHnGaR…"
7696,2018-06-17 19:21:08,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7697,2018-06-17 19:21:08,[],en,"Mississauga, Ontario",CAN,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7698,2018-06-17 19:21:09,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7699,2018-06-17 19:21:09,[],en,BRIDGECITY 2nd/3rd st ,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7700,2018-06-17 19:21:09,[],en,"Atlanta, GA",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7701,2018-06-17 19:21:09,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7702,2018-06-17 19:21:10,[],en,"North Carolina, USA",,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7703,2018-06-17 19:21:10,[],en,Lagos,PRT,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7704,2018-06-17 19:21:10,[],en,nola,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7705,2018-06-17 19:21:10,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
