,Country,Player,Post,Code,Post_Simple
555,Belgique,Simon Mignolet,Gardien de but,BEL,Gardien
556,Belgique,Koen Casteels,Gardien de but,BEL,Gardien
557,Belgique,Matz Sels,Gardien de but,BEL,Gardien
558,Belgique,Toby Alderweireld,Défenseur central,BEL,Défenseur
559,Belgique,Jan Vertonghen,Défenseur central,BEL,Défenseur
560,Belgique,Vincent Kompany,Défenseur central,BEL,Défenseur
561,Belgique,Christian Kabasele,Défenseur central,BEL,Défenseur
562,Belgique,Thomas Vermaelen ,Défenseur central,BEL,Défenseur
563,Belgique,Dedryck Boyata,Défenseur central,BEL,Défenseur
564,Belgique,Laurent Ciman,Défenseur central,BEL,Défenseur
565,Belgique,Jordan Lukaku,Arrière gauche,BEL,Défenseur
566,Belgique,Thomas Meunier,Arrière droit,BEL,Défenseur
567,Belgique,Leander Dendoncker,Milieu défensif,BEL,Milieu
568,Belgique,Youri Tielemans,Milieu central,BEL,Milieu
569,Belgique,Mousa Dembélé,Milieu central,BEL,Milieu
570,Belgique,Axel Witsel,Milieu central,BEL,Milieu
571,Belgique,Marouane Fellaini ,Milieu central,BEL,Milieu
572,Belgique,Kevin De Bruyne,Milieu offensif,BEL,Milieu
573,Belgique,Eden Hazard ,Ailier gauche,BEL,Attaquant
574,Belgique,Yannick Carrasco,Ailier gauche,BEL,Attaquant
575,Belgique,Thorgan Hazard,Ailier gauche,BEL,Attaquant
576,Belgique,Nacer Chadli,Ailier gauche,BEL,Attaquant
577,Belgique,Adnan Januzaj,Ailier droit,BEL,Attaquant
578,Belgique,Romelu Lukaku,Avant centre,BEL,Attaquant
579,Belgique,Michy Batshuayi ,Avant centre,BEL,Attaquant
580,Belgique,Dries Mertens,Avant centre,BEL,Attaquant
581,Belgique,Christian Benteke,Avant centre,BEL,Attaquant
