Date,Delivered,Sales
01-2014,2808.0,1265.0
02-2014,2638.0,1277.0
03-2014,3386.0,1606.0
04-2014,3530.0,1625.0
05-2014,3540.0,1701.0
06-2014,3350.0,1677.0
07-2014,6427.0,3657.0
08-2014,7433.0,4699.0
09-2014,5461.0,2323.0
10-2014,3862.0,1833.0
11-2014,3597.0,1439.0
12-2014,3639.0,1449.0
01-2015,3442.0,1465.0
02-2015,2718.0,1373.0
03-2015,2817.0,1251.0
04-2015,3336.0,1527.0
05-2015,3706.0,1475.0
06-2015,3895.0,1687.0
07-2015,6405.0,3426.0
08-2015,7488.0,4343.0
09-2015,4796.0,2162.0
10-2015,4310.0,1902.0
11-2015,4116.0,1599.0
12-2015,3431.0,1405.0
01-2016,3143.0,1223.0
02-2016,3210.0,1373.0
03-2016,3399.0,1430.0
04-2016,3227.0,1508.0
05-2016,3249.0,1517.0
06-2016,3403.0,1689.0
07-2016,5148.0,2946.0
08-2016,6960.0,4063.0
09-2016,4423.0,1974.0
10-2016,3965.0,1817.0
11-2016,4340.0,1592.0
12-2016,3720.0,1385.0
