Date,Delivered,Sales
01-2014,7581.0,3497.0
02-2014,7192.0,3228.0
03-2014,8664.0,4192.0
04-2014,8345.0,3939.0
05-2014,8487.0,3779.0
06-2014,7479.0,3484.0
07-2014,9715.0,4353.0
08-2014,9087.0,4449.0
09-2014,9112.0,4159.0
10-2014,8366.0,3722.0
11-2014,7432.0,3120.0
12-2014,7198.0,3374.0
01-2015,7786.0,3891.0
02-2015,7338.0,3269.0
03-2015,7165.0,3133.0
04-2015,8137.0,3612.0
05-2015,8132.0,3304.0
06-2015,8082.0,3452.0
07-2015,8582.0,3935.0
08-2015,8066.0,3679.0
09-2015,7516.0,3326.0
10-2015,7457.0,3364.0
11-2015,7640.0,3175.0
12-2015,7083.0,3193.0
01-2016,6668.0,2769.0
02-2016,6419.0,2571.0
03-2016,6923.0,2857.0
04-2016,6555.0,2900.0
05-2016,6453.0,2766.0
06-2016,6509.0,2987.0
07-2016,6924.0,3411.0
08-2016,7285.0,3730.0
09-2016,6855.0,2945.0
10-2016,7250.0,2976.0
11-2016,7535.0,3077.0
12-2016,6934.0,3010.0
