Date,Delivered,Sales
01-2014,33248.0,18465.0
02-2014,31424.0,17292.0
03-2014,36679.0,21324.0
04-2014,39870.0,23747.0
05-2014,38099.0,20670.0
06-2014,34551.0,19975.0
07-2014,52762.0,33400.0
08-2014,56732.0,37379.0
09-2014,39375.0,24057.0
10-2014,34845.0,20347.0
11-2014,30281.0,17281.0
12-2014,32309.0,18347.0
01-2015,33619.0,19639.0
02-2015,30053.0,17819.0
03-2015,32260.0,17908.0
04-2015,36215.0,20392.0
05-2015,33652.0,18036.0
06-2015,33661.0,19675.0
07-2015,49962.0,29253.0
08-2015,50539.0,31178.0
09-2015,36342.0,19892.0
10-2015,37531.0,18565.0
11-2015,35940.0,16604.0
12-2015,32846.0,16915.0
01-2016,30654.0,14725.0
02-2016,32822.0,15144.0
03-2016,33859.0,16125.0
04-2016,33335.0,17330.0
05-2016,30943.0,15731.0
06-2016,30384.0,16727.0
07-2016,45540.0,25902.0
08-2016,50329.0,29837.0
09-2016,36281.0,18094.0
10-2016,34888.0,16819.0
11-2016,35435.0,16559.0
12-2016,32331.0,16112.0
