Date,Delivered,Sales
01-2014,16360.0,8972.0
02-2014,14674.0,7966.0
03-2014,16657.0,9623.0
04-2014,15300.0,8634.0
05-2014,15327.0,8546.0
06-2014,14012.0,7747.0
07-2014,14590.0,8267.0
08-2014,13035.0,7541.0
09-2014,15624.0,8771.0
10-2014,14704.0,8475.0
11-2014,13855.0,7670.0
12-2014,14260.0,8013.0
01-2015,16715.0,9368.0
02-2015,13470.0,7564.0
03-2015,13203.0,7131.0
04-2015,13138.0,7267.0
05-2015,12986.0,7150.0
06-2015,13783.0,7357.0
07-2015,13128.0,7224.0
08-2015,12037.0,6330.0
09-2015,12998.0,7163.0
10-2015,15331.0,7592.0
11-2015,15976.0,7750.0
12-2015,14631.0,7099.0
01-2016,13988.0,6664.0
02-2016,14418.0,6453.0
03-2016,13890.0,6651.0
04-2016,12367.0,6362.0
05-2016,11398.0,6094.0
06-2016,11936.0,6498.0
07-2016,10662.0,5735.0
08-2016,9892.0,5516.0
09-2016,12283.0,6159.0
10-2016,13472.0,6385.0
11-2016,14683.0,6817.0
12-2016,12490.0,6352.0
