Date,Delivered,Sales
01-2014,9949.0,5413.0
02-2014,9182.0,4872.0
03-2014,10415.0,6179.0
04-2014,10586.0,5835.0
05-2014,9961.0,5414.0
06-2014,9366.0,5088.0
07-2014,12861.0,6577.0
08-2014,11511.0,6831.0
09-2014,10334.0,5891.0
10-2014,10969.0,5738.0
11-2014,10003.0,4941.0
12-2014,9714.0,5260.0
01-2015,11975.0,6149.0
02-2015,9526.0,5186.0
03-2015,10228.0,5240.0
04-2015,10624.0,5383.0
05-2015,9841.0,4744.0
06-2015,9912.0,5192.0
07-2015,11270.0,5656.0
08-2015,11604.0,5977.0
09-2015,10585.0,5276.0
10-2015,11697.0,5533.0
11-2015,12100.0,5125.0
12-2015,10438.0,5131.0
01-2016,9076.0,4431.0
02-2016,9345.0,4304.0
03-2016,9559.0,4522.0
04-2016,8958.0,4564.0
05-2016,9286.0,4353.0
06-2016,9901.0,4731.0
07-2016,10766.0,5131.0
08-2016,10994.0,5779.0
09-2016,11769.0,4872.0
10-2016,11408.0,4818.0
11-2016,11915.0,4890.0
12-2016,10917.0,4712.0
