Date,Delivered,Sales
01-2014,431071.0,317808.0
02-2014,386863.0,279955.0
03-2014,434406.0,331206.0
04-2014,393620.0,293945.0
05-2014,394988.0,285031.0
06-2014,358388.0,270461.0
07-2014,323874.0,233915.0
08-2014,234286.0,163312.0
09-2014,380204.0,289690.0
10-2014,380696.0,286842.0
11-2014,360737.0,272864.0
12-2014,353219.0,261630.0
01-2015,379351.0,276434.0
02-2015,297461.0,221862.0
03-2015,322400.0,224220.0
04-2015,297550.0,214917.0
05-2015,278628.0,202368.0
06-2015,303852.0,220611.0
07-2015,227501.0,157508.0
08-2015,159240.0,108056.0
09-2015,290946.0,211588.0
10-2015,339977.0,220991.0
11-2015,359879.0,227627.0
12-2015,332797.0,211036.0
01-2016,341809.0,231459.0
02-2016,331927.0,229061.0
03-2016,328175.0,229776.0
04-2016,283948.0,204093.0
05-2016,288492.0,201342.0
06-2016,310152.0,219289.0
07-2016,253533.0,162076.0
08-2016,188762.0,124672.0
09-2016,296648.0,206967.0
10-2016,316372.0,215184.0
11-2016,365574.0,239075.0
12-2016,321311.0,217456.0
