Date,Delivered,Sales
01-2014,10557.0,4794.0
02-2014,9701.0,4192.0
03-2014,10552.0,5191.0
04-2014,9761.0,4594.0
05-2014,9623.0,4620.0
06-2014,8867.0,4169.0
07-2014,9894.0,4803.0
08-2014,9242.0,4975.0
09-2014,10430.0,5058.0
10-2014,9549.0,4790.0
11-2014,8482.0,4383.0
12-2014,8791.0,4638.0
01-2015,9963.0,5354.0
02-2015,8444.0,4414.0
03-2015,8854.0,4549.0
04-2015,8609.0,4376.0
05-2015,8264.0,4131.0
06-2015,8990.0,4468.0
07-2015,8835.0,4371.0
08-2015,7975.0,4136.0
09-2015,8552.0,4309.0
10-2015,10059.0,4466.0
11-2015,9762.0,4175.0
12-2015,9522.0,4572.0
01-2016,8753.0,3789.0
02-2016,8478.0,3766.0
03-2016,8293.0,3833.0
04-2016,7289.0,3660.0
05-2016,7321.0,3533.0
06-2016,7618.0,3782.0
07-2016,7560.0,3774.0
08-2016,7504.0,3867.0
09-2016,8436.0,3647.0
10-2016,9379.0,3932.0
11-2016,9701.0,4019.0
12-2016,8906.0,4262.0
