Date,Delivered,Sales
01-2014,2387.0,890.0
02-2014,2058.0,809.0
03-2014,2346.0,1055.0
04-2014,2233.0,1058.0
05-2014,2406.0,982.0
06-2014,2217.0,967.0
07-2014,2691.0,1163.0
08-2014,2857.0,1354.0
09-2014,2489.0,1031.0
10-2014,2119.0,947.0
11-2014,2007.0,837.0
12-2014,2093.0,849.0
01-2015,2336.0,984.0
02-2015,1992.0,787.0
03-2015,1987.0,855.0
04-2015,1974.0,835.0
05-2015,1843.0,790.0
06-2015,2020.0,920.0
07-2015,2370.0,1092.0
08-2015,2561.0,1221.0
09-2015,2533.0,987.0
10-2015,2271.0,929.0
11-2015,2377.0,896.0
12-2015,1928.0,833.0
01-2016,1840.0,776.0
02-2016,1880.0,727.0
03-2016,1808.0,750.0
04-2016,1742.0,711.0
05-2016,1894.0,743.0
06-2016,2034.0,804.0
07-2016,2174.0,971.0
08-2016,2396.0,1102.0
09-2016,2167.0,854.0
10-2016,2188.0,823.0
11-2016,2316.0,861.0
12-2016,2188.0,769.0
