Date,Delivered,Sales
01-2014,6129.0,2700.0
02-2014,5447.0,2394.0
03-2014,6123.0,3239.0
04-2014,6567.0,3405.0
05-2014,6456.0,3056.0
06-2014,5654.0,2882.0
07-2014,8645.0,4393.0
08-2014,8534.0,4872.0
09-2014,6471.0,3422.0
10-2014,6018.0,3069.0
11-2014,5771.0,2632.0
12-2014,5556.0,2681.0
01-2015,5969.0,2805.0
02-2015,4482.0,2429.0
03-2015,4506.0,2290.0
04-2015,5435.0,2708.0
05-2015,5287.0,2550.0
06-2015,5193.0,2533.0
07-2015,7263.0,3624.0
08-2015,7752.0,3961.0
09-2015,6041.0,2697.0
10-2015,5738.0,2680.0
11-2015,5678.0,2468.0
12-2015,4896.0,2449.0
01-2016,4304.0,2145.0
02-2016,4427.0,2070.0
03-2016,4560.0,2241.0
04-2016,4595.0,2302.0
05-2016,4767.0,2317.0
06-2016,4591.0,2387.0
07-2016,5893.0,3186.0
08-2016,6466.0,3822.0
09-2016,5050.0,2336.0
10-2016,5647.0,2522.0
11-2016,5970.0,2363.0
12-2016,5472.0,2205.0
