Date,Delivered,Sales
01-2014,4060.0,1719.0
02-2014,3506.0,1431.0
03-2014,4379.0,1969.0
04-2014,4209.0,1984.0
05-2014,4180.0,1834.0
06-2014,3959.0,1677.0
07-2014,4877.0,2061.0
08-2014,4390.0,2356.0
09-2014,4619.0,2081.0
10-2014,4563.0,1867.0
11-2014,4050.0,1611.0
12-2014,4178.0,1700.0
01-2015,4674.0,1926.0
02-2015,3853.0,1658.0
03-2015,3847.0,1540.0
04-2015,3781.0,1567.0
05-2015,3575.0,1450.0
06-2015,3570.0,1546.0
07-2015,4153.0,1786.0
08-2015,4336.0,1867.0
09-2015,4174.0,1670.0
10-2015,4973.0,1700.0
11-2015,4671.0,1552.0
12-2015,3703.0,1525.0
01-2016,3554.0,1254.0
02-2016,3386.0,1264.0
03-2016,3455.0,1317.0
04-2016,3482.0,1381.0
05-2016,3369.0,1379.0
06-2016,3524.0,1495.0
07-2016,3619.0,1586.0
08-2016,3685.0,1828.0
09-2016,3825.0,1536.0
10-2016,3728.0,1398.0
11-2016,4007.0,1427.0
12-2016,3733.0,1415.0
