Date,Delivered,Sales
01-2014,62240.0,37350.0
02-2014,55988.0,33408.0
03-2014,64750.0,42154.0
04-2014,64403.0,40007.0
05-2014,64825.0,38223.0
06-2014,59158.0,36291.0
07-2014,69527.0,43431.0
08-2014,63099.0,40159.0
09-2014,67009.0,41419.0
10-2014,62475.0,37038.0
11-2014,58327.0,34475.0
12-2014,60165.0,35948.0
01-2015,64674.0,39311.0
02-2015,53821.0,33870.0
03-2015,58826.0,35092.0
04-2015,58654.0,35094.0
05-2015,54018.0,32888.0
06-2015,59578.0,35593.0
07-2015,63892.0,37979.0
08-2015,58388.0,34060.0
09-2015,58636.0,34704.0
10-2015,60797.0,34053.0
11-2015,63138.0,32407.0
12-2015,60097.0,32747.0
01-2016,56346.0,29928.0
02-2016,56806.0,29500.0
03-2016,57933.0,30623.0
04-2016,55437.0,29265.0
05-2016,51500.0,29581.0
06-2016,55074.0,31665.0
07-2016,60365.0,32828.0
08-2016,55724.0,31938.0
09-2016,59119.0,30608.0
10-2016,58530.0,29745.0
11-2016,63728.0,31797.0
12-2016,56975.0,30007.0
