Date,Delivered,Sales
01-2014,3785.0,1875.0
02-2014,3764.0,1634.0
03-2014,4416.0,2190.0
04-2014,4353.0,1940.0
05-2014,4170.0,1829.0
06-2014,3634.0,1676.0
07-2014,5242.0,2636.0
08-2014,6225.0,3304.0
09-2014,4977.0,2269.0
10-2014,4004.0,1786.0
11-2014,3353.0,1514.0
12-2014,3647.0,1787.0
01-2015,3941.0,1890.0
02-2015,3547.0,1780.0
03-2015,3986.0,1584.0
04-2015,3686.0,1589.0
05-2015,3438.0,1604.0
06-2015,3527.0,1554.0
07-2015,3999.0,2050.0
08-2015,4863.0,2569.0
09-2015,3368.0,1727.0
10-2015,3695.0,1650.0
11-2015,3922.0,1494.0
12-2015,3618.0,1498.0
01-2016,3430.0,1371.0
02-2016,3536.0,1521.0
03-2016,3466.0,1394.0
04-2016,3105.0,1401.0
05-2016,3194.0,1314.0
06-2016,3290.0,1463.0
07-2016,4142.0,1955.0
08-2016,4766.0,2509.0
09-2016,3844.0,1726.0
10-2016,3540.0,1508.0
11-2016,3807.0,1405.0
12-2016,3768.0,1453.0
