Date,Delivered,Sales
01-2014,7710.0,3184.0
02-2014,7323.0,3032.0
03-2014,7855.0,3642.0
04-2014,7297.0,3392.0
05-2014,7375.0,3097.0
06-2014,6421.0,2897.0
07-2014,8051.0,3565.0
08-2014,8303.0,3961.0
09-2014,8046.0,3628.0
10-2014,7595.0,3513.0
11-2014,6905.0,3135.0
12-2014,7745.0,3263.0
01-2015,9076.0,4060.0
02-2015,7530.0,3234.0
03-2015,7537.0,3209.0
04-2015,6701.0,3032.0
05-2015,6068.0,2786.0
06-2015,6355.0,2951.0
07-2015,7789.0,3359.0
08-2015,7708.0,3276.0
09-2015,7695.0,3092.0
10-2015,7729.0,3084.0
11-2015,8013.0,3013.0
12-2015,6892.0,2984.0
01-2016,6823.0,2850.0
02-2016,6877.0,2820.0
03-2016,6328.0,2696.0
04-2016,5669.0,2583.0
05-2016,5528.0,2448.0
06-2016,6000.0,2637.0
07-2016,6225.0,2935.0
08-2016,6325.0,3167.0
09-2016,6470.0,2790.0
10-2016,6956.0,2855.0
11-2016,7236.0,3040.0
12-2016,6988.0,2946.0
