Date,Delivered,Sales
01-2014,21389.0,11629.0
02-2014,19119.0,10160.0
03-2014,23006.0,12810.0
04-2014,21433.0,10822.0
05-2014,20908.0,10329.0
06-2014,19779.0,10009.0
07-2014,17545.0,8246.0
08-2014,14241.0,6831.0
09-2014,19529.0,10432.0
10-2014,19660.0,10722.0
11-2014,18326.0,10137.0
12-2014,19161.0,9988.0
01-2015,22458.0,12075.0
02-2015,17474.0,9806.0
03-2015,19706.0,10291.0
04-2015,18890.0,9400.0
05-2015,17443.0,8791.0
06-2015,18856.0,9001.0
07-2015,17392.0,7189.0
08-2015,14735.0,5895.0
09-2015,17246.0,8454.0
10-2015,19556.0,8832.0
11-2015,20237.0,9198.0
12-2015,19922.0,9190.0
01-2016,16742.0,8341.0
02-2016,17472.0,8181.0
03-2016,17418.0,8375.0
04-2016,15672.0,7611.0
05-2016,14896.0,7167.0
06-2016,15973.0,7605.0
07-2016,15362.0,6263.0
08-2016,12127.0,4927.0
09-2016,14470.0,7043.0
10-2016,16309.0,7586.0
11-2016,17852.0,8458.0
12-2016,16587.0,7914.0
