Date,Delivered,Sales
01-2014,9930.0,4880.0
02-2014,9263.0,4500.0
03-2014,10350.0,5295.0
04-2014,9788.0,5448.0
05-2014,9652.0,4981.0
06-2014,9290.0,4706.0
07-2014,10486.0,5549.0
08-2014,9590.0,5438.0
09-2014,10320.0,5586.0
10-2014,10072.0,5128.0
11-2014,9447.0,4667.0
12-2014,9923.0,5212.0
01-2015,10417.0,5480.0
02-2015,8670.0,4589.0
03-2015,9690.0,4452.0
04-2015,8964.0,4480.0
05-2015,8676.0,4321.0
06-2015,9248.0,4523.0
07-2015,9379.0,4724.0
08-2015,9134.0,4689.0
09-2015,9371.0,4536.0
10-2015,11203.0,4671.0
11-2015,10748.0,4311.0
12-2015,8846.0,4325.0
01-2016,7811.0,3891.0
02-2016,8158.0,3742.0
03-2016,7976.0,3945.0
04-2016,7461.0,3819.0
05-2016,7822.0,3840.0
06-2016,8496.0,4203.0
07-2016,8391.0,4155.0
08-2016,8095.0,4314.0
09-2016,8996.0,4008.0
10-2016,9276.0,3980.0
11-2016,10036.0,4247.0
12-2016,9313.0,4110.0
