Date,Delivered,Sales
01-2014,5704.0,2571.0
02-2014,4987.0,2303.0
03-2014,5336.0,3022.0
04-2014,5847.0,2843.0
05-2014,6203.0,2732.0
06-2014,4739.0,2436.0
07-2014,6320.0,3142.0
08-2014,6304.0,3375.0
09-2014,6114.0,2931.0
10-2014,6046.0,2769.0
11-2014,5660.0,2432.0
12-2014,5674.0,2501.0
01-2015,5958.0,2766.0
02-2015,4585.0,2424.0
03-2015,5385.0,2405.0
04-2015,4930.0,2489.0
05-2015,4715.0,2232.0
06-2015,4942.0,2538.0
07-2015,6165.0,2944.0
08-2015,6097.0,2984.0
09-2015,5660.0,2562.0
10-2015,5490.0,2454.0
11-2015,5509.0,2408.0
12-2015,4423.0,2224.0
01-2016,3703.0,1830.0
02-2016,4053.0,1957.0
03-2016,4226.0,2061.0
04-2016,4411.0,1976.0
05-2016,4348.0,1963.0
06-2016,4596.0,2225.0
07-2016,5533.0,2668.0
08-2016,6108.0,2869.0
09-2016,5283.0,2199.0
10-2016,5227.0,2141.0
11-2016,5640.0,2212.0
12-2016,5209.0,2049.0
