Date,Delivered,Sales
01-2014,6249.0,2864.0
02-2014,5840.0,2575.0
03-2014,6253.0,3169.0
04-2014,6090.0,2929.0
05-2014,6098.0,2843.0
06-2014,5558.0,2748.0
07-2014,6205.0,2906.0
08-2014,5701.0,2878.0
09-2014,6617.0,2930.0
10-2014,6181.0,2960.0
11-2014,5583.0,2629.0
12-2014,5339.0,2640.0
01-2015,6152.0,3174.0
02-2015,5174.0,2578.0
03-2015,5267.0,2545.0
04-2015,5738.0,2822.0
05-2015,5561.0,2667.0
06-2015,5850.0,2855.0
07-2015,5652.0,2840.0
08-2015,5348.0,2628.0
09-2015,5715.0,2729.0
10-2015,7867.0,3020.0
11-2015,7672.0,2990.0
12-2015,6068.0,2866.0
01-2016,5768.0,2603.0
02-2016,6032.0,2399.0
03-2016,6005.0,2482.0
04-2016,4991.0,2335.0
05-2016,4744.0,2159.0
06-2016,4957.0,2411.0
07-2016,4654.0,2166.0
08-2016,4265.0,2220.0
09-2016,4955.0,2260.0
10-2016,5658.0,2294.0
11-2016,5896.0,2602.0
12-2016,5268.0,2450.0
