Date,Delivered,Sales
01-2014,11544.0,5972.0
02-2014,10073.0,5537.0
03-2014,11598.0,6658.0
04-2014,12063.0,6970.0
05-2014,11976.0,6695.0
06-2014,11364.0,6251.0
07-2014,16568.0,9477.0
08-2014,16667.0,9892.0
09-2014,13871.0,7424.0
10-2014,11686.0,6339.0
11-2014,10741.0,5575.0
12-2014,10661.0,5769.0
01-2015,11149.0,6089.0
02-2015,8773.0,5231.0
03-2015,9686.0,5159.0
04-2015,10521.0,5684.0
05-2015,10402.0,5572.0
06-2015,11933.0,6207.0
07-2015,15162.0,8272.0
08-2015,15332.0,8269.0
09-2015,13117.0,6161.0
10-2015,12293.0,5779.0
11-2015,12076.0,5382.0
12-2015,9475.0,5227.0
01-2016,8594.0,4736.0
02-2016,8561.0,4515.0
03-2016,8569.0,4882.0
04-2016,9919.0,4921.0
05-2016,9968.0,5083.0
06-2016,10619.0,5643.0
07-2016,12404.0,6953.0
08-2016,12619.0,7465.0
09-2016,11848.0,5560.0
10-2016,11933.0,5217.0
11-2016,12372.0,5214.0
12-2016,10711.0,4895.0
