Date,Delivered,Sales
01-2014,11690.0,5857.0
02-2014,11790.0,5984.0
03-2014,13936.0,7471.0
04-2014,17751.0,10333.0
05-2014,17228.0,8221.0
06-2014,14235.0,7820.0
07-2014,28032.0,17179.0
08-2014,30958.0,22299.0
09-2014,19480.0,10652.0
10-2014,16945.0,8604.0
11-2014,13583.0,6582.0
12-2014,13091.0,6375.0
01-2015,12628.0,6366.0
02-2015,11973.0,6314.0
03-2015,12069.0,6166.0
04-2015,15403.0,8526.0
05-2015,14735.0,7494.0
06-2015,15220.0,7720.0
07-2015,25312.0,15687.0
08-2015,29498.0,18471.0
09-2015,16789.0,8649.0
10-2015,17403.0,8044.0
11-2015,13702.0,5912.0
12-2015,11719.0,6155.0
01-2016,10765.0,5010.0
02-2016,11673.0,5355.0
03-2016,12218.0,5859.0
04-2016,13214.0,7488.0
05-2016,12996.0,6528.0
06-2016,13696.0,7080.0
07-2016,22084.0,13536.0
08-2016,26602.0,16847.0
09-2016,17230.0,8206.0
10-2016,15056.0,6932.0
11-2016,15318.0,6268.0
12-2016,13469.0,6170.0
