Date,Delivered,Sales
01-2014,7322.0,3456.0
02-2014,6524.0,3189.0
03-2014,7549.0,4030.0
04-2014,7626.0,3946.0
05-2014,8005.0,3788.0
06-2014,7303.0,3413.0
07-2014,9091.0,4589.0
08-2014,9235.0,5050.0
09-2014,8480.0,4106.0
10-2014,7306.0,3573.0
11-2014,6680.0,3135.0
12-2014,6963.0,3238.0
01-2015,7375.0,3492.0
02-2015,6012.0,2786.0
03-2015,6415.0,2916.0
04-2015,6360.0,2994.0
05-2015,6603.0,2827.0
06-2015,6653.0,3118.0
07-2015,8431.0,3830.0
08-2015,8255.0,3925.0
09-2015,6615.0,3223.0
10-2015,6640.0,3038.0
11-2015,7150.0,2862.0
12-2015,6384.0,2829.0
01-2016,5771.0,2546.0
02-2016,5802.0,2555.0
03-2016,5791.0,2681.0
04-2016,5432.0,2549.0
05-2016,5919.0,2511.0
06-2016,6319.0,2748.0
07-2016,7725.0,3445.0
08-2016,8354.0,3872.0
09-2016,7180.0,2750.0
10-2016,6570.0,2652.0
11-2016,7254.0,2735.0
12-2016,6998.0,2636.0
