Date,Delivered,Sales
01-2014,3841.0,1678.0
02-2014,3558.0,1439.0
03-2014,4384.0,1921.0
04-2014,4212.0,1924.0
05-2014,4103.0,1681.0
06-2014,3786.0,1575.0
07-2014,4228.0,1686.0
08-2014,4388.0,1952.0
09-2014,4227.0,1834.0
10-2014,4237.0,1715.0
11-2014,3602.0,1539.0
12-2014,3947.0,1597.0
01-2015,4541.0,1943.0
02-2015,3663.0,1662.0
03-2015,4267.0,1610.0
04-2015,3851.0,1537.0
05-2015,3621.0,1370.0
06-2015,3680.0,1451.0
07-2015,3354.0,1503.0
08-2015,4221.0,1738.0
09-2015,3547.0,1492.0
10-2015,4264.0,1564.0
11-2015,4340.0,1450.0
12-2015,3643.0,1504.0
01-2016,3391.0,1360.0
02-2016,3161.0,1364.0
03-2016,3302.0,1355.0
04-2016,2994.0,1333.0
05-2016,3142.0,1309.0
06-2016,3246.0,1429.0
07-2016,3353.0,1402.0
08-2016,3460.0,1642.0
09-2016,3466.0,1374.0
10-2016,3635.0,1506.0
11-2016,4130.0,1560.0
12-2016,3844.0,1449.0
