Date,Delivered,Sales
01-2014,9948.0,4205.0
02-2014,8911.0,3772.0
03-2014,9929.0,4869.0
04-2014,9626.0,4331.0
05-2014,9770.0,3972.0
06-2014,9139.0,3793.0
07-2014,9923.0,3835.0
08-2014,8245.0,3561.0
09-2014,9594.0,4369.0
10-2014,9841.0,4326.0
11-2014,8876.0,3836.0
12-2014,9345.0,3939.0
01-2015,10160.0,5049.0
02-2015,8327.0,3921.0
03-2015,9111.0,3984.0
04-2015,8351.0,3799.0
05-2015,7786.0,3476.0
06-2015,8258.0,3842.0
07-2015,8216.0,3347.0
08-2015,6682.0,2842.0
09-2015,7882.0,3757.0
10-2015,9464.0,3821.0
11-2015,9967.0,4020.0
12-2015,8602.0,3924.0
01-2016,7705.0,3500.0
02-2016,7804.0,3362.0
03-2016,7892.0,3509.0
04-2016,6774.0,3217.0
05-2016,6275.0,3140.0
06-2016,6496.0,3417.0
07-2016,6176.0,2776.0
08-2016,5685.0,2873.0
09-2016,7198.0,3386.0
10-2016,7833.0,3316.0
11-2016,8315.0,3783.0
12-2016,7439.0,3547.0
