Date,Delivered,Sales
01-2014,6417.0,3549.0
02-2014,6192.0,3227.0
03-2014,7088.0,4013.0
04-2014,7520.0,4022.0
05-2014,7147.0,3700.0
06-2014,6338.0,3486.0
07-2014,8659.0,4553.0
08-2014,7978.0,4852.0
09-2014,7721.0,4013.0
10-2014,7512.0,3834.0
11-2014,6210.0,3335.0
12-2014,6470.0,3418.0
01-2015,7167.0,3877.0
02-2015,5972.0,3194.0
03-2015,6749.0,3384.0
04-2015,7076.0,3410.0
05-2015,6383.0,3130.0
06-2015,6433.0,3230.0
07-2015,7385.0,3911.0
08-2015,7756.0,3952.0
09-2015,6735.0,3439.0
10-2015,7583.0,3460.0
11-2015,7250.0,3131.0
12-2015,6327.0,3156.0
01-2016,6131.0,2935.0
02-2016,6405.0,2986.0
03-2016,6580.0,3053.0
04-2016,6116.0,2932.0
05-2016,6333.0,2987.0
06-2016,6621.0,3101.0
07-2016,7604.0,3507.0
08-2016,7627.0,3800.0
09-2016,7678.0,3195.0
10-2016,7506.0,3069.0
11-2016,8003.0,3147.0
12-2016,7457.0,3111.0
