Date,Delivered,Sales
01-2014,14018.0,6426.0
02-2014,12757.0,5868.0
03-2014,15270.0,7753.0
04-2014,16180.0,8332.0
05-2014,16495.0,7599.0
06-2014,14228.0,6775.0
07-2014,23794.0,11717.0
08-2014,24001.0,13084.0
09-2014,16767.0,7774.0
10-2014,15623.0,7459.0
11-2014,14069.0,6367.0
12-2014,13536.0,6537.0
01-2015,14454.0,6889.0
02-2015,11866.0,5879.0
03-2015,12696.0,5798.0
04-2015,15189.0,7172.0
05-2015,15213.0,6824.0
06-2015,13835.0,6342.0
07-2015,20347.0,10146.0
08-2015,20731.0,10759.0
09-2015,15105.0,6259.0
10-2015,16186.0,6792.0
11-2015,15947.0,6096.0
12-2015,13609.0,6290.0
01-2016,12485.0,5111.0
02-2016,12365.0,5309.0
03-2016,12714.0,5500.0
04-2016,12127.0,6145.0
05-2016,12540.0,5925.0
06-2016,12515.0,5727.0
07-2016,16079.0,8924.0
08-2016,17766.0,10381.0
09-2016,14299.0,5831.0
10-2016,14326.0,6137.0
11-2016,15328.0,6068.0
12-2016,13351.0,6018.0
