Date,Delivered,Sales
01-2014,1745.0,635.0
02-2014,1487.0,538.0
03-2014,1674.0,789.0
04-2014,1953.0,941.0
05-2014,2389.0,1043.0
06-2014,2405.0,1194.0
07-2014,4292.0,2435.0
08-2014,5102.0,3295.0
09-2014,3282.0,1674.0
10-2014,2372.0,1023.0
11-2014,1633.0,679.0
12-2014,1725.0,564.0
01-2015,1699.0,601.0
02-2015,1243.0,486.0
03-2015,1440.0,531.0
04-2015,1844.0,740.0
05-2015,2116.0,831.0
06-2015,2317.0,931.0
07-2015,3916.0,1967.0
08-2015,5286.0,2633.0
09-2015,2911.0,1184.0
10-2015,2319.0,953.0
11-2015,1833.0,614.0
12-2015,1491.0,486.0
01-2016,1315.0,354.0
02-2016,1316.0,378.0
03-2016,1351.0,431.0
04-2016,1461.0,700.0
05-2016,1499.0,734.0
06-2016,1949.0,933.0
07-2016,2827.0,1722.0
08-2016,3693.0,2380.0
09-2016,2518.0,1061.0
10-2016,2202.0,874.0
11-2016,1903.0,664.0
12-2016,1621.0,477.0
