Date,Delivered,Sales
01-2014,5396.0,2390.0
02-2014,5001.0,2205.0
03-2014,5408.0,2700.0
04-2014,5241.0,2600.0
05-2014,5299.0,2502.0
06-2014,5011.0,2301.0
07-2014,5356.0,2741.0
08-2014,5024.0,2767.0
09-2014,5285.0,2651.0
10-2014,5081.0,2626.0
11-2014,4762.0,2258.0
12-2014,4595.0,2255.0
01-2015,5371.0,2678.0
02-2015,4394.0,2226.0
03-2015,4987.0,2259.0
04-2015,5011.0,2256.0
05-2015,4499.0,2093.0
06-2015,4736.0,2238.0
07-2015,4589.0,2443.0
08-2015,4312.0,2241.0
09-2015,4582.0,2151.0
10-2015,4266.0,2138.0
11-2015,5188.0,2040.0
12-2015,4627.0,2195.0
01-2016,4234.0,1871.0
02-2016,4270.0,1893.0
03-2016,4179.0,2036.0
04-2016,4029.0,2025.0
05-2016,4166.0,1939.0
06-2016,4824.0,2011.0
07-2016,4390.0,2031.0
08-2016,4283.0,2234.0
09-2016,4712.0,2059.0
10-2016,4955.0,2033.0
11-2016,4948.0,2071.0
12-2016,4601.0,2009.0
