Date,Delivered,Sales
01-2014,4445.0,2054.0
02-2014,3728.0,1862.0
03-2014,4964.0,2589.0
04-2014,5285.0,2594.0
05-2014,5375.0,2599.0
06-2014,5054.0,2363.0
07-2014,6949.0,3903.0
08-2014,7924.0,4653.0
09-2014,6620.0,3328.0
10-2014,5559.0,2671.0
11-2014,4632.0,2262.0
12-2014,4812.0,2064.0
01-2015,4836.0,2281.0
02-2015,3818.0,2062.0
03-2015,4433.0,1985.0
04-2015,4718.0,2240.0
05-2015,4506.0,2205.0
06-2015,4643.0,2210.0
07-2015,6494.0,3462.0
08-2015,7260.0,4186.0
09-2015,5809.0,2758.0
10-2015,5500.0,2452.0
11-2015,5488.0,2241.0
12-2015,4373.0,2052.0
01-2016,3937.0,1682.0
02-2016,4132.0,1700.0
03-2016,4255.0,1898.0
04-2016,4376.0,2092.0
05-2016,4352.0,2103.0
06-2016,4688.0,2265.0
07-2016,6315.0,3104.0
08-2016,7519.0,4041.0
09-2016,5680.0,2621.0
10-2016,5181.0,2273.0
11-2016,5715.0,2325.0
12-2016,5196.0,1989.0
