Date,Delivered,Sales
01-2014,5439.0,2127.0
02-2014,5078.0,2233.0
03-2014,5451.0,2507.0
04-2014,5098.0,2315.0
05-2014,5202.0,2217.0
06-2014,4744.0,2142.0
07-2014,6755.0,3227.0
08-2014,7263.0,3794.0
09-2014,5723.0,2521.0
10-2014,4886.0,2197.0
11-2014,4190.0,1813.0
12-2014,4750.0,2062.0
01-2015,5029.0,2187.0
02-2015,4529.0,2083.0
03-2015,4497.0,1924.0
04-2015,4248.0,1895.0
05-2015,4036.0,1808.0
06-2015,4365.0,1968.0
07-2015,6070.0,2716.0
08-2015,6620.0,3166.0
09-2015,4838.0,2030.0
10-2015,4591.0,1913.0
11-2015,4615.0,1679.0
12-2015,4173.0,1704.0
01-2016,3976.0,1503.0
02-2016,4233.0,1838.0
03-2016,4097.0,1783.0
04-2016,3488.0,1572.0
05-2016,3677.0,1624.0
06-2016,3858.0,1698.0
07-2016,4619.0,2366.0
08-2016,5312.0,2753.0
09-2016,4358.0,1845.0
10-2016,4224.0,1743.0
11-2016,4406.0,1684.0
12-2016,4094.0,1802.0
