Date,Delivered,Sales
01-2014,9299.0,4158.0
02-2014,8350.0,3710.0
03-2014,9409.0,4804.0
04-2014,9824.0,4487.0
05-2014,9870.0,4269.0
06-2014,8851.0,3766.0
07-2014,9395.0,4113.0
08-2014,8177.0,3673.0
09-2014,9270.0,4579.0
10-2014,8774.0,4451.0
11-2014,7986.0,3874.0
12-2014,7524.0,3894.0
01-2015,8888.0,4686.0
02-2015,7221.0,3634.0
03-2015,7402.0,3576.0
04-2015,7827.0,3652.0
05-2015,7178.0,3181.0
06-2015,8462.0,3893.0
07-2015,7737.0,3371.0
08-2015,6227.0,2864.0
09-2015,7173.0,3552.0
10-2015,7816.0,3488.0
11-2015,8023.0,3635.0
12-2015,7055.0,3460.0
01-2016,6875.0,3147.0
02-2016,6623.0,3018.0
03-2016,6688.0,3225.0
04-2016,6197.0,2982.0
05-2016,6280.0,2951.0
06-2016,7004.0,3152.0
07-2016,6353.0,2769.0
08-2016,5344.0,2677.0
09-2016,7040.0,3189.0
10-2016,7781.0,3196.0
11-2016,8234.0,3383.0
12-2016,7205.0,3262.0
