Date,Delivered,Sales
01-2014,2443.0,1007.0
02-2014,2140.0,880.0
03-2014,2664.0,1190.0
04-2014,2602.0,1059.0
05-2014,2825.0,1040.0
06-2014,2429.0,938.0
07-2014,2447.0,922.0
08-2014,2382.0,1000.0
09-2014,2777.0,1003.0
10-2014,2615.0,1000.0
11-2014,2392.0,927.0
12-2014,2014.0,968.0
01-2015,2421.0,1111.0
02-2015,2047.0,892.0
03-2015,2010.0,834.0
04-2015,2074.0,891.0
05-2015,1739.0,774.0
06-2015,1793.0,800.0
07-2015,1754.0,771.0
08-2015,1476.0,720.0
09-2015,1548.0,644.0
10-2015,2439.0,827.0
11-2015,2529.0,972.0
12-2015,2000.0,801.0
01-2016,1832.0,696.0
02-2016,1860.0,735.0
03-2016,1828.0,754.0
04-2016,1706.0,697.0
05-2016,1793.0,690.0
06-2016,1911.0,740.0
07-2016,1766.0,700.0
08-2016,1681.0,748.0
09-2016,2055.0,698.0
10-2016,2273.0,789.0
11-2016,2433.0,790.0
12-2016,2060.0,829.0
