Date,Delivered,Sales
01-2014,18248.0,9035.0
02-2014,16535.0,7824.0
03-2014,18415.0,9527.0
04-2014,17809.0,8907.0
05-2014,17736.0,8512.0
06-2014,16758.0,7895.0
07-2014,18297.0,8663.0
08-2014,16949.0,7996.0
09-2014,17997.0,9058.0
10-2014,17127.0,8624.0
11-2014,16590.0,7909.0
12-2014,16098.0,8216.0
01-2015,18349.0,9793.0
02-2015,15220.0,7727.0
03-2015,16664.0,7768.0
04-2015,15888.0,7551.0
05-2015,14724.0,7162.0
06-2015,15651.0,7864.0
07-2015,15412.0,7560.0
08-2015,14502.0,6581.0
09-2015,15541.0,7922.0
10-2015,16185.0,8103.0
11-2015,16606.0,8068.0
12-2015,15146.0,8193.0
01-2016,14130.0,7149.0
02-2016,14221.0,7062.0
03-2016,14214.0,7338.0
04-2016,13326.0,6967.0
05-2016,12693.0,6734.0
06-2016,13464.0,7257.0
07-2016,12625.0,6515.0
08-2016,11898.0,6353.0
09-2016,14601.0,7201.0
10-2016,15926.0,7445.0
11-2016,16170.0,7622.0
12-2016,14846.0,7626.0
