Date,Delivered,Sales
01-2014,12161.0,5243.0
02-2014,11230.0,4698.0
03-2014,11935.0,5711.0
04-2014,11305.0,5317.0
05-2014,11963.0,5157.0
06-2014,10886.0,4663.0
07-2014,12226.0,4953.0
08-2014,11264.0,4926.0
09-2014,11922.0,5399.0
10-2014,11256.0,5241.0
11-2014,10665.0,4732.0
12-2014,10337.0,4915.0
01-2015,11985.0,5983.0
02-2015,9582.0,4637.0
03-2015,10334.0,4883.0
04-2015,10262.0,4547.0
05-2015,9580.0,4289.0
06-2015,10000.0,4525.0
07-2015,9940.0,4455.0
08-2015,8766.0,3997.0
09-2015,9471.0,4512.0
10-2015,10673.0,4739.0
11-2015,11517.0,4821.0
12-2015,10406.0,4770.0
01-2016,9486.0,4418.0
02-2016,9599.0,4322.0
03-2016,9906.0,4403.0
04-2016,9335.0,4074.0
05-2016,8691.0,3888.0
06-2016,9239.0,4177.0
07-2016,8930.0,3898.0
08-2016,8348.0,3795.0
09-2016,9581.0,4185.0
10-2016,10354.0,4445.0
11-2016,10670.0,4714.0
12-2016,9997.0,4536.0
