Date,Delivered,Sales
01-2014,5632.0,2672.0
02-2014,4750.0,2348.0
03-2014,5633.0,3052.0
04-2014,6189.0,3175.0
05-2014,6307.0,3164.0
06-2014,5993.0,3068.0
07-2014,9348.0,5112.0
08-2014,9965.0,5944.0
09-2014,7527.0,3732.0
10-2014,6058.0,3099.0
11-2014,5635.0,2596.0
12-2014,5757.0,2694.0
01-2015,5689.0,2836.0
02-2015,4468.0,2491.0
03-2015,5087.0,2552.0
04-2015,5570.0,2841.0
05-2015,5616.0,2916.0
06-2015,6601.0,3394.0
07-2015,8891.0,4854.0
08-2015,9845.0,5230.0
09-2015,7353.0,3331.0
10-2015,7021.0,3159.0
11-2015,6754.0,2651.0
12-2015,5066.0,2561.0
01-2016,4431.0,2323.0
02-2016,4511.0,2236.0
03-2016,4547.0,2335.0
04-2016,5500.0,2554.0
05-2016,5528.0,2517.0
06-2016,6042.0,2917.0
07-2016,7224.0,3955.0
08-2016,7553.0,4328.0
09-2016,6751.0,2832.0
10-2016,6691.0,2621.0
11-2016,6658.0,2432.0
12-2016,5726.0,2387.0
