Date,Delivered,Sales
01-2014,8758.0,3917.0
02-2014,7712.0,3942.0
03-2014,8865.0,4800.0
04-2014,8360.0,3990.0
05-2014,8445.0,3983.0
06-2014,7634.0,3878.0
07-2014,10660.0,5408.0
08-2014,11321.0,6356.0
09-2014,9261.0,4785.0
10-2014,9150.0,4502.0
11-2014,6961.0,3048.0
12-2014,7181.0,3711.0
01-2015,8139.0,3925.0
02-2015,7911.0,4121.0
03-2015,8201.0,3561.0
04-2015,7933.0,3564.0
05-2015,7857.0,3413.0
06-2015,7825.0,3679.0
07-2015,9395.0,4713.0
08-2015,9798.0,5052.0
09-2015,8436.0,3938.0
10-2015,7806.0,3439.0
11-2015,7068.0,3017.0
12-2015,7056.0,3174.0
01-2016,6754.0,2859.0
02-2016,7843.0,3396.0
03-2016,7205.0,3006.0
04-2016,6260.0,2922.0
05-2016,6193.0,2854.0
06-2016,6728.0,3245.0
07-2016,8715.0,4102.0
08-2016,9303.0,4805.0
09-2016,7784.0,3511.0
10-2016,7582.0,3398.0
11-2016,7566.0,2818.0
12-2016,7363.0,2961.0
