Date,Delivered,Sales
01-2014,9083.0,4249.0
02-2014,8384.0,3888.0
03-2014,9226.0,4835.0
04-2014,9306.0,4895.0
05-2014,9042.0,4777.0
06-2014,8426.0,4371.0
07-2014,11437.0,5902.0
08-2014,10915.0,6052.0
09-2014,10212.0,5141.0
10-2014,9572.0,4741.0
11-2014,8206.0,4143.0
12-2014,8991.0,4221.0
01-2015,9705.0,4680.0
02-2015,7682.0,3886.0
03-2015,8395.0,3988.0
04-2015,8527.0,4049.0
05-2015,8149.0,4132.0
06-2015,8540.0,4270.0
07-2015,10134.0,5072.0
08-2015,10022.0,5218.0
09-2015,9270.0,4235.0
10-2015,9713.0,4370.0
11-2015,9393.0,4026.0
12-2015,8216.0,3873.0
01-2016,7572.0,3382.0
02-2016,7717.0,3404.0
03-2016,7845.0,3583.0
04-2016,7842.0,3632.0
05-2016,7972.0,3715.0
06-2016,8190.0,3743.0
07-2016,9081.0,4419.0
08-2016,9102.0,4946.0
09-2016,8936.0,3815.0
10-2016,8709.0,3883.0
11-2016,9387.0,3980.0
12-2016,8593.0,3770.0
