Date,Delivered,Sales
01-2014,11394.0,5548.0
02-2014,11219.0,5381.0
03-2014,13648.0,7371.0
04-2014,15951.0,8378.0
05-2014,15743.0,7847.0
06-2014,15113.0,7865.0
07-2014,25351.0,14496.0
08-2014,27637.0,17369.0
09-2014,19602.0,10431.0
10-2014,15592.0,7889.0
11-2014,12667.0,6395.0
12-2014,12863.0,5912.0
01-2015,12255.0,5655.0
02-2015,10368.0,5398.0
03-2015,11779.0,5827.0
04-2015,13949.0,7059.0
05-2015,13506.0,6891.0
06-2015,14238.0,7766.0
07-2015,23136.0,12985.0
08-2015,26081.0,14836.0
09-2015,16790.0,8666.0
10-2015,14760.0,7411.0
11-2015,14029.0,5940.0
12-2015,10961.0,5358.0
01-2016,9583.0,4510.0
02-2016,9783.0,4614.0
03-2016,10613.0,5539.0
04-2016,12582.0,6494.0
05-2016,12904.0,6461.0
06-2016,14422.0,7325.0
07-2016,22814.0,11765.0
08-2016,26298.0,14765.0
09-2016,16832.0,8302.0
10-2016,14637.0,7237.0
11-2016,15167.0,6281.0
12-2016,12809.0,5256.0
