Date,Delivered,Sales
01-2014,31176.0,14940.0
02-2014,28956.0,13717.0
03-2014,31349.0,17131.0
04-2014,30232.0,15407.0
05-2014,29699.0,14682.0
06-2014,27612.0,13451.0
07-2014,30631.0,13487.0
08-2014,27038.0,11812.0
09-2014,32037.0,15766.0
10-2014,31625.0,15041.0
11-2014,28048.0,14127.0
12-2014,28147.0,13976.0
01-2015,30840.0,16850.0
02-2015,25057.0,13684.0
03-2015,26428.0,13085.0
04-2015,26718.0,12997.0
05-2015,25293.0,11701.0
06-2015,26421.0,12962.0
07-2015,25856.0,11359.0
08-2015,22037.0,9943.0
09-2015,26668.0,13037.0
10-2015,28684.0,13379.0
11-2015,29801.0,13866.0
12-2015,27091.0,13446.0
01-2016,24352.0,11728.0
02-2016,25699.0,11854.0
03-2016,26050.0,12252.0
04-2016,22456.0,11232.0
05-2016,21750.0,10999.0
06-2016,22920.0,11907.0
07-2016,21604.0,10303.0
08-2016,19081.0,9638.0
09-2016,23946.0,11616.0
10-2016,24999.0,11965.0
11-2016,27479.0,13519.0
12-2016,25576.0,12356.0
