Date,Delivered,Sales
01-2014,7014.0,3189.0
02-2014,6088.0,2860.0
03-2014,6716.0,3676.0
04-2014,7781.0,4026.0
05-2014,7516.0,3833.0
06-2014,7285.0,3952.0
07-2014,12366.0,6385.0
08-2014,12369.0,7151.0
09-2014,10517.0,5174.0
10-2014,7852.0,3863.0
11-2014,6896.0,3166.0
12-2014,6690.0,3303.0
01-2015,7288.0,3631.0
02-2015,5748.0,3153.0
03-2015,6300.0,3135.0
04-2015,6908.0,3484.0
05-2015,7087.0,3560.0
06-2015,7836.0,3965.0
07-2015,11421.0,5678.0
08-2015,11934.0,5828.0
09-2015,9341.0,4459.0
10-2015,7630.0,3530.0
11-2015,7713.0,3173.0
12-2015,6877.0,3195.0
01-2016,6379.0,2811.0
02-2016,6739.0,2905.0
03-2016,6643.0,2887.0
04-2016,7152.0,2967.0
05-2016,7249.0,3046.0
06-2016,8126.0,3591.0
07-2016,10435.0,4947.0
08-2016,11015.0,5384.0
09-2016,9403.0,3698.0
10-2016,8274.0,3050.0
11-2016,8058.0,3002.0
12-2016,7324.0,2971.0
