Date,Delivered,Sales
01-2014,11687.0,5556.0
02-2014,11409.0,5504.0
03-2014,10622.0,5415.0
04-2014,11416.0,5736.0
05-2014,11043.0,5451.0
06-2014,10001.0,4934.0
07-2014,12487.0,6185.0
08-2014,11678.0,5569.0
09-2014,12032.0,5813.0
10-2014,11404.0,5634.0
11-2014,10148.0,4814.0
12-2014,10929.0,5282.0
01-2015,12209.0,5969.0
02-2015,9888.0,4889.0
03-2015,10633.0,4745.0
04-2015,9434.0,4683.0
05-2015,9086.0,4345.0
06-2015,9479.0,4625.0
07-2015,10941.0,4898.0
08-2015,9992.0,4519.0
09-2015,10346.0,4575.0
10-2015,11010.0,4619.0
11-2015,11208.0,4702.0
12-2015,9983.0,4509.0
01-2016,9178.0,4069.0
02-2016,9249.0,3883.0
03-2016,9415.0,3960.0
04-2016,8808.0,3791.0
05-2016,8313.0,3635.0
06-2016,8806.0,4002.0
07-2016,9227.0,4144.0
08-2016,8126.0,4233.0
09-2016,9232.0,4049.0
10-2016,9782.0,4135.0
11-2016,10355.0,4357.0
12-2016,9796.0,4142.0
