Date,Delivered,Sales
01-2014,30913.0,16287.0
02-2014,28010.0,14864.0
03-2014,33048.0,18910.0
04-2014,33445.0,18130.0
05-2014,32953.0,17783.0
06-2014,32081.0,18025.0
07-2014,45089.0,24638.0
08-2014,43849.0,24765.0
09-2014,40415.0,21542.0
10-2014,32292.0,16850.0
11-2014,27653.0,14873.0
12-2014,28660.0,15186.0
01-2015,30618.0,17195.0
02-2015,25394.0,14910.0
03-2015,28008.0,15036.0
04-2015,29742.0,15532.0
05-2015,29262.0,15046.0
06-2015,33309.0,17122.0
07-2015,43799.0,21122.0
08-2015,42525.0,20550.0
09-2015,36755.0,17670.0
10-2015,32273.0,15053.0
11-2015,31808.0,14349.0
12-2015,28783.0,13870.0
01-2016,27280.0,12908.0
02-2016,28787.0,12912.0
03-2016,28536.0,13222.0
04-2016,28223.0,13357.0
05-2016,27654.0,13452.0
06-2016,30402.0,15500.0
07-2016,36354.0,18100.0
08-2016,36396.0,18554.0
09-2016,33628.0,15523.0
10-2016,31436.0,13595.0
11-2016,31795.0,14341.0
12-2016,28274.0,12989.0
